audit_id,claim_id,reviewer,reviewed_at,status,sampled_pdfs,notes
AUDIT_20260811163540249582,DSO-004,USER,2026-08-11 16:35:40,verified,data\raw\fulltext\doi_10.60507_fk2_ox9xtm\c63fd2fa68d15a1e\source.pdf,Verified public access. License is CC BY 4.0.
AUDIT_20260811164444121007,MGA-007,USER,2026-08-11 16:44:44,verified,data\raw\fulltext\arxiv_171105458\a0f255f028a73789\source.pdf | data\raw\fulltext\titleyear_annotated_3d_point_cloud_dataset_of_broad_leaf_legumes_captured_by_high_thr_4b4213b61a\84188ecb105698c0\source.pdf | data\raw\fulltext\doi_10.1109_iccvw60793.2023.00065\ba7b555751195121\source.pdf | data\raw\fulltext\doi_10.1109_lra.2017.2774979\e30d2a1d6dcf0177\source.pdf | data\raw\fulltext\doi_10.3389_fpls.2021.774068\ff89ae577cdb95ad\source.pdf,"Confirmed: none of 5 sampled papers tests cross-sensor. 1) Giselsson Plant Seedlings single Canon 600D, naive-Bayes demo same rig. 2) Galba Broad Leaf Legumes all PlantEye F600, 5-fold nested CV same dataset. 3) Celikkan Bayesian crop/weed: two independent per-sensor evals (Sugarbeets2016 field robot; PhenoBench UAV), no train-A/test-B transfer (borderline, Sec. 5 applicability demo). 4) Lottes weedNet single Sequoia on DJI Mavic, temporal test explicitly same sensor/altitude. 5) Bhosale EWS single Canon 5D II, year-holdout same camera, SB2016 pretrain only. Review via Docling normalized markdown; paper 3 PhenoBench section recommended for visual PDF spot-check."
AUDIT_20260811185337353209,DT-003,USER,2026-08-11 18:53:37,superseded,data\raw\fulltext\doi_10.1016_j.dib.2020.105833\e2b7e2d2a1dce934\source.pdf | data\raw\fulltext\doi_10.60507_fk2_ox9xtm\c63fd2fa68d15a1e\source.pdf | data\raw\fulltext\doi_10.1186_s13007-020-00573-w\d6707b70f1b71741\source.pdf | data\raw\fulltext\doi_10.1002_aps3.11373\c222d60d05f950c4\source.pdf | data\raw\fulltext\doi_10.1016_j.dib.2024.110821\9b281c3aa981d969\source.xml,"HOLDS 4/5: WeedElec (Zenodo cc-by-4.0), FruitSeg30 (HF cc-by-4.0), MuST-C (DataCite SPDX cc-by-4.0), Latvian Crop-Weed (DIB CC BY article ships data) all CC BY 4.0. ROSE-X MIS-STATED: article is CC BY 4.0 but dataset falls under BMC default CC0 waiver (uabox.univ-angers.fr ownCloud archive, no credit line found). Registry row doi:10.1186/s13007-020-00573-w conflates article license with dataset license; needs correction event. Registry also shows WeedElec license 'not specified' (should be CC BY 4.0). Claim superseded as written; corrected claim should list the 4 CC BY 4.0 datasets and drop ROSE-X."
AUDIT_20260811185802640786,DSO-006,USER,2026-08-11 18:58:02,verified,data\raw\fulltext\doi_10.1371_journal.pone.0256340\f5df4bd0e65a1aab\source.pdf,"Confirmed from Pheno4D site: 84 maize clouds (12 days) + 140 tomato clouds (20 days); labeled points 60M maize + 200M tomato = ~260M, temporally consistent labels; maize files carry 2 labels per point (semantic+instance), tomato 1; public download (Pheno4D.zip) + data-loader API (AIS-Bonn/data_loaders). Rank claim consistent with closed-universe 96-row scores (21.0, batch-6 top 3D). CAVEAT: site states NO license; required_validation item 'verify dataset license' NOT satisfied - license remains unconfirmed and must be resolved before any access/license manuscript claim. Instance-label quality per paper (PLOS ONE) not re-verified."
AUDIT_20260811190243951807,DSO-007,USER,2026-08-11 19:02:43,verified,data\raw\fulltext\doi_10.1016_j.ecoinf.2024.102546\541ec4b1ea1be053\source.pdf,"Claim CONFIRMED: ecoinf.2024.102546 S3.1 two-season 8-class weed dataset (2021/2022 seasons), 6,664 imgs/10,848 bboxes; explicit cross-season framing with up to 14.5% accuracy drops between in-season and cross-season testing; 20.5/25 rank 9 confirmed, top batch-6 RGB (AgriAdapt 18.5, TomatoWUR 18.5, Bean Soy 15.5, SoyCotton 14.0; Pheno4D 21.0 is 3D not RGB). LICENSE ERROR: actual Zenodo record 10762138 rev10 = CC BY-NC 4.0 (SPDX cc-by-nc-4.0), NOT CC-BY-NC-ND-4.0 as recorded in dataset_registry.csv and this claim's required_validation. No ND term -> derivatives/models permitted with attribution; only NC blocks commercial use. Registry cell needs deterministic correction event."
AUDIT_20260811191013616048,DSO-008,USER,2026-08-11 19:10:13,rejected,data\raw\fulltext\doi_10.3390_electronics14204082\aea7d6d6e819dfeb\source.pdf,"Claim NOT confirmed as written. (1) Direction inverted: abstract + S3 state 643 (322 Field1 + 321 Field2, internally consistent); intro/contributions/related work/conclusion state 747 (stale figure). (2) 'Unresolved inconsistency' is outdated: live Roboflow Universe page (2026-08-11) confirms 643 images, matching abstract/S3 and first-author LinkedIn. The error is a paper-internal typo in intro/contributions, not a dataset quality risk. Registry row already carries both counts with discrepancy flagged; should note repo confirms 643."
AUDIT_20260811191547313448,DSO-009,USER,2026-08-11 19:15:47,verified,data\raw\fulltext\doi_10.3390_agriculture16020215\04a3a18be0b79a7e\source.pdf,"Confirmed: 3D Rice WBPH Damage is a novel 3D insect-damage dataset (point-level semantic labels) with grouped pot-level test split (test = final collection per pot, 45 pots, 174 point clouds). Access is request-only (Data Availability on request) with NO stated license terms for the data; article license CC-BY-4.0 does not extend to the data (mirrors ROSE-X CC0 pattern). Confirms low feasibility (2.0/5) for independent reproduction."
AUDIT_20260811192706592053,DSO-010,USER,2026-08-11 19:27:06,rejected,data\raw\fulltext\doi_10.3390_rs16234394\679b6ef7d2663cc6\source.pdf,"Textual inconsistency CONFIRMED: abstract says 'making public the dataset' but Data Availability Statement says 'available on request from the first author'; no repository link in paper. However the claim's feasibility-lowering implication is REFUTED: public release verified at https://universe.roboflow.com/wwwdataset-jzoak/weed11-12dez22-6fev23-20m-2 - project name matches flight window (Dec 2022-Feb 2023) and 20 m height; filenames are Brazilian ddMonyy dates; classes exactly Weed/Bean/Soybean; version /19 = 3021 images = exact paper augmented count; License CC BY 4.0, public download. DAS just lacks the link. Feasibility score 2.5/5 understated; should be revisited upward."
AUDIT_20260811193026704388,MGA-008,USER,2026-08-11 19:30:26,superseded,,"SUPERSEDED on universe change, consistent with DSO-001/002/003/005: the 87-paper basis no longer matches the live method_gap_matrix.csv. Method-gap matrix re-run twice since this claim: MGA-009 (94 papers) then MGA-010 (190 papers, current closed universe, 2026-08-08). MGA-008's percentages (calibration 79/87, same-sensor 59/87, no code 50/87, >=4 gaps 63/87) apply only to the retired 87-paper universe. Tag-correctness spot-check deferred to MGA-010 (190-paper basis). No sampled PDFs reviewed."
AUDIT_20260811194044174793,DT-004,USER,2026-08-11 19:40:44,superseded,,"Recording of the 5 FU1 decisions was accurate at the time (2026-07-31 acquisition failed: rank 13 Wiley 403/failed; ranks 23/26/32/40 IEEE no_candidate). Premise 'cannot be lawfully acquired' now FAILS for 4/5: user obtained lawful local copies 2026-08-11 of ranks 23 (RPD), 26 (AgriSeg), 32 (RCNN/YOLO weed), 40 (YOLOv7 weed/crop) from Downloads. Only rank 13 (doi:10.1002/ps.70881, Wiley ASVLB-Net) remains unobtainable. The 4 IEEE unresolved rows (FTS_bf07ae30c5200c6c691d, FTS_2a62de017b4600a595b8, FTS_ed7c527d334232cf6fc2, FTS_f9493c5bc599494ab095) should be superseded by include decisions after corpus import + Docling processing + review."
