claim_id,claim_text,scope,evidence_ids,evidence_locations,contradictory_evidence,strength,uncertainty,status,required_validation,reviewer,reviewed_at,notes
MGA-001,"83-98% of agricultural CV papers do not report calibration metrics such as ECE, reliability diagrams, Brier score, or confidence curves.",methodology: calibration reporting in agri-CV literature,method_gap_matrix.csv,"outputs/method_gap_matrix.csv, column: calibration_reported (52 papers: 46 no, 2 partial, 0 yes across original 46; 2 partial in new)",None identified. 0 papers scored `yes` across the 46-paper sample.,strong,medium — 2 papers now show partial calibration,supported,manual audit of 10 randomly sampled papers to confirm no calibration mentioned outside extraction context,opencode,2026-07-28,Single partial mention found (not full calibration).
MGA-002,48-91% of agricultural CV papers lack strong simple baselines (varies by tagging scheme).,methodology: baseline strength in agri-CV,method_gap_matrix.csv,"outputs/method_gap_matrix.csv, column: baseline_strength (52 papers)","4 papers with `strong_simple` tag: Outdoor Plant Seg (RF+CNN), Multimodal Disease Benchmark (RF+DT), two others",strong,high — tagging differences between scoring runs,supported,confirm the 4 `strong_simple` papers actually used non-DL baselines with parity parameterization,opencode,2026-07-28,
MGA-003,71-79% of agricultural CV papers use random/unclear splits risking field/plant leakage.,methodology: data-split hygiene in agri-CV,method_gap_matrix.csv,"outputs/method_gap_matrix.csv, column: split_level (52 papers)","10 papers with grouped splits: 1 grouped_field, 4 grouped_plant, 3 grouped_location, 1 grouped_time",strong,low — split description is usually explicit in methodology,supported,verify grouped-split papers actually enforce held-out field/plant identity rather than random tiles,opencode,2026-07-28,
MGA-004,87% of agricultural CV papers evaluate on same sensor only.,methodology: sensor generalization in agri-CV,method_gap_matrix.csv,"outputs/method_gap_matrix.csv, column: cross_sensor_test (52 papers: 45 same_sensor)",10 papers test cross-dataset; no paper tests cross-sensor explicitly,strong,medium — cross-sensor vs cross-dataset distinction may be ambiguous in some papers,supported,manually check `cross_dataset` papers for any implicit cross-sensor evaluation,opencode,2026-07-28,
MGA-005,54-59% of agricultural CV papers release no code.,reproducibility: code availability in agri-CV,method_gap_matrix.csv,"outputs/method_gap_matrix.csv, column: code_available (52 papers)",17 papers with `public` code; 1 with `weights_only`,strong,low — code availability is binary from paper text,supported,spot-check 5 `not_available` papers for supplementary material with code,opencode,2026-07-28,
MGA-006,69% of agricultural CV papers exhibit 4+ simultaneous methodological gaps.,methodology: cumulative methodology weakness in agri-CV,method_gap_matrix.csv,outputs/method_gap_matrix.csv (52 papers),4 papers with 2 gaps or fewer,strong,medium — gap thresholds are somewhat arbitrary (4 of 6 dimensions),supported,verify 4 low-gap papers on each dimension manually,opencode,2026-07-28,Updated from 33/46 (72%) at 46 papers to 36/52 (69%) at 52 papers
DSO-001,"AgroVG (22), PhenoBench (21), and AgroTools (20.5) lead opportunity scores among 30 datasets.",research opportunity: dataset candidate ranking,dataset_opportunity_scores.csv,outputs/dataset_opportunity_scores.csv,"Weeds-Banana (19.5), WE3DS (19.5), CropNet (20) — close alternatives with different modality trade-offs",strong,"medium — scores reflect agent judgment per rubric, not exhaustive review",superseded,human review of AgroVG paper and dataset access; replicate scoring on top 5,opencode,2026-07-28,"SUPERSEDED by DSO-019: ranked 30-dataset universe; in the closed 96-dataset universe AgroVG is rank 2 (22.0) behind MuST-C 24.5, PhenoBench rank 6, AgroTools rank 8. PhenoBench and AgroTools added; AgroVG remains rank 1"
DSO-002,"PhenoBench scores 21/25 (rank 2) with exceptional annotation depth (2000+ hrs, 5 tasks) but moderate feasibility (same-sensor test only).",research opportunity: CropNet feasibility risk,dataset_opportunity_scores.csv,"outputs/dataset_opportunity_scores.csv, rank=2",AgroVG (22) and AgroTools (20.5) score similarly,moderate,medium — license requires verification beyond paper text,superseded,verify CropNet license and access mechanism,opencode,2026-07-28,"SUPERSEDED by DSO-019: PhenoBench is rank 6 (21.0) in the closed 96-dataset universe, not rank 2."
DSO-003,"Multimodal/3D datasets (CropNet, WE3DS, Crops3D, PLANesT-3D, TomatoWUR, AgriLiRa4D) cluster at the top of opportunity rankings (19-20), suggesting non-RGB modalities are the highest-value research target.",research opportunity: modality cluster signal,dataset_opportunity_scores.csv,"outputs/dataset_opportunity_scores.csv, ranks 2-10",RGB-only AgroVG still occupies rank 1 (22/25),moderate,"medium — small sample (27 datasets), agent scoring correlations not controlled",superseded,re-score after full 260-paper corpus; indicate which modalities each dataset has been tested on,opencode,2026-07-28,"SUPERSEDED by DSO-019: named datasets moved to ranks 11-25 (CropNet 11, WE3DS 16, PLANesT-3D 21, AgriLiRa4D 22, TomatoWUR 23, Crops3D 25). Qualitative conclusion (non-RGB modalities dominate the top) is preserved in DSO-019."
DSO-004,"MuST-C is the most opportunity-rich agricultural CV dataset identified, scoring 24.5/25 across all five dimensions due to its multi-sensor (RGB, multispectral, LiDAR), multi-temporal, multi-crop (6 species) design with manual reference measurements.","MuST-C dataset (Chong et al., 2025/2026)",doi:10.60507/fk2/ox9xtm,FTS_04adc7b4be8b390c0262; full_text_decisions.csv rank 91,,strong,low,supported,human: verify dataset is publicly accessible and license terms,USER,2026-08-11 16:35:40,VERIFIED against closed-universe 96-row scores (2026-08-08): Batch-5 evidence synthesis; HUMAN AUDIT VERIFIED by USER on 2026-08-11 16:35:40: Verified public access. License is CC BY 4.0.
DSO-005,"ROSE-X is the top-ranked 3D agricultural CV dataset with strong baselines (RF, MRF alongside 3D U-Net), suggesting the 3D plant analysis community maintains stronger baseline traditions than RGB agri-CV.",ROSE-X dataset,doi:10.1186/s13007-020-00573-w,FTS_6e8c399bcb4af58266ef; full_text_decisions.csv rank 89,,moderate,medium,superseded,human: verify baseline comparison claims from the paper,opencode_ai,2026-07-30,"SUPERSEDED by DSO-019: ROSE-X is rank 26 (18.5) in the closed universe; top 3D datasets are MaizeField3D (21.5), BonnBeetClouds3D (21.0), Pheno4D (21.0). Batch-5 evidence synthesis"
MGA-007,"Multi-sensor datasets (MuST-C, IPB Sugar Beets 2016) are rare but highly valuable for cross-sensor generalization research; less than 16% of 67 papers tested cross-sensor.",All 67 method-gap-tagged papers,method_gap_matrix.csv,method_gap_merge.py output; cross_sensor_test column,,strong,low,supported,human: confirm cross-sensor statistics,USER,2026-08-11 16:44:44,"Batch-5 MGA update; HUMAN AUDIT VERIFIED by USER on 2026-08-11 16:44:44: Confirmed: none of 5 sampled papers tests cross-sensor. 1) Giselsson Plant Seedlings single Canon 600D, naive-Bayes demo same rig. 2) Galba Broad Leaf Legumes all PlantEye F600, 5-fold nested CV same dataset. 3) Celikkan Bayesian crop/weed: two independent per-sensor evals (Sugarbeets2016 field robot; PhenoBench UAV), no train-A/test-B transfer (borderline, Sec. 5 applicability demo). 4) Lottes weedNet single Sequoia on DJI Mavic, temporal test explicitly same sensor/altitude. 5) Bhosale EWS single Canon 5D II, year-holdout same camera, SB2016 pretrain only. Review via Docling normalized markdown; paper 3 PhenoBench section recommended for visual PDF spot-check."
