screening_id,candidate_id,rank,title,decision,decision_confidence,reason_code,reason_note,likely_paper_type,likely_dataset_relationship,named_datasets,agricultural_domain,vision_task,modalities,relevance_yes,relevance_unclear,abstract_available,full_text_available,identity_status,reviewer,model,protocol_version,screened_at,batch_id,source_queue_sha256,supersedes_screening_id,notes
TA_R0291,doi:10.1016/j.cj.2021.03.015,291,High-throughput phenotyping: Breaking through the bottleneck in future crop breeding,include,high,I10,Review of high-throughput phenomics technologies from microscopic to aerial scales for crop breeding,survey_or_review,mentions_dataset_only,,phenotyping;crop_breeding,phenotyping,RGB;multispectral;UAV;3d,phenotyping;remote_sensing;uav;3d_vision,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T17:53:31Z,B016,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0292,doi:10.1109/cvpr52729.2023.02336,292,Deep Deterministic Uncertainty: A New Simple Baseline,exclude,high,E03_NO_DATASET_RELEVANCE,"Deep deterministic uncertainty baseline for OoD detection on CIFAR/ImageNet; general ML, not agricultural",method_paper,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T17:53:31Z,B016,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0293,doi:10.3390/s19173796,293,Precision Agriculture Techniques and Practices: From Considerations to Applications,exclude,high,E03_NO_DATASET_RELEVANCE,"Review of precision agriculture IoT/WSN technologies; broad survey, not CV dataset focused",survey_or_review,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T17:53:31Z,B016,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0294,doi:10.3389/fpls.2022.859290,294,Quantitative Extraction and Evaluation of Tomato Fruit Phenotypes Based on Image Recognition,include,high,I05,"Mask R-CNN for quantitative extraction of tomato fruit phenotypes (color, size, locule number)",method_paper,uses_dataset_experimentally,,tomato;phenotyping,instance_segmentation;classification,RGB,instance_segmentation;phenotyping,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T17:53:31Z,B016,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0295,doi:10.1145/3371158.3371196,295,PlantDoc: A Dataset for Visual Plant Disease Detection,include,high,I01,"Introduces PlantDoc dataset: 2,598 images across 13 plant species and 17 disease classes for plant disease detection",dataset_paper,introduces_dataset,PlantDoc,plant_disease,classification,RGB,classification,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T17:53:31Z,B016,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0296,doi:10.1146/annurev-arplant-042916-041124,296,Phenotyping: New Windows into the Plant for Breeders,exclude,high,E03_NO_DATASET_RELEVANCE,Review of phenotyping technologies for breeders; no specific CV dataset focus,survey_or_review,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T17:53:31Z,B016,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0297,doi:10.1016/j.eswa.2015.10.043,297,Selecting patterns and features for between- and within- crop-row weed mapping using UAV-imagery,include,high,I05,Feature and pattern selection for crop-row weed mapping from UAV imagery,method_paper,uses_dataset_experimentally,,weeds;crops;mapping,classification,multispectral;UAV,classification;multispectral;uav,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T17:53:31Z,B016,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0298,doi:10.1109/iccv.2017.322,298,Mask R-CNN,exclude,high,E03_NO_DATASET_RELEVANCE,"Mask R-CNN instance segmentation on COCO; general CV foundation architecture, not agricultural",method_paper,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T17:53:31Z,B016,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0299,doi:10.9734/ijecc/2023/v13i71885,299,Performance of Pinoxaden Herbicide against Complex Weed Flora in Wheat (Triticum aestivum L.),exclude,high,E03_NO_DATASET_RELEVANCE,"Herbicide efficacy field trial for pinoxaden on wheat weeds; agronomy, no computer vision",method_paper,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T17:53:31Z,B016,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0300,doi:10.5194/isprs-archives-xliii-b3-2020-1077-2020,300,TOMATOD: EVALUATION OF OBJECT DETECTION ALGORITHMS ON A NEW REAL-WORLD TOMATO DATASET,include,high,I01,"Introduces TOMATOD: tomato fruit detection dataset with ripening stage annotations (250+ images, 2400 annotations)",dataset_paper,introduces_dataset,TOMATOD,tomato;harvesting,object_detection,RGB,object_detection,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T17:53:31Z,B016,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
