seed_row_id,dataset_name,provider,input_title,input_doi,candidate_id,candidate_title,candidate_year,candidate_doi,match_method,match_score,identity_status,decision_reason,evidence_url,reviewer,reviewed_at,notes
P001,MuST-C,openalex,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,10.1038/s41597-025-06462-y,W7118572638,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,2026,10.1038/s41597-025-06462-y,identifier:https://doi.org/10.1038/s41597-025-06462-y,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-025-06462-y (score=1.0000, source=repair)",https://doi.org/10.1038/s41597-025-06462-y,,,source_run: repair
P001,MuST-C,semantic_scholar,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,10.1038/s41597-025-06462-y,8365b88c4326e8e3eb4015272ece9bc7ac3bb266,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,2026,10.1038/s41597-025-06462-y,identifier:DOI:10.1038/s41597-025-06462-y,1.0000,accepted,"Verified by identifier:DOI:10.1038/s41597-025-06462-y (score=1.0000, source=s2retry)",https://www.semanticscholar.org/paper/8365b88c4326e8e3eb4015272ece9bc7ac3bb266,,,source_run: s2retry
P002,TomatoMAP,openalex,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping and 3D Reconstruction,10.1038/s41597-026-06926-9,W7132822694,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,2026,10.1038/s41597-026-06926-9,identifier:https://doi.org/10.1038/s41597-026-06926-9,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-026-06926-9 (score=1.0000, source=hist)",https://doi.org/10.1038/s41597-026-06926-9,,,source_run: hist
P002,TomatoMAP,semantic_scholar,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping and 3D Reconstruction,10.1038/s41597-026-06926-9,a17bd08da0562423eb7cc8543795fc4e04ac2f4c,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,2025,10.1038/s41597-026-06926-9,identifier:DOI:10.1038/s41597-026-06926-9,1.0000,accepted,"Verified by identifier:DOI:10.1038/s41597-026-06926-9 (score=1.0000, source=hist)",https://www.semanticscholar.org/paper/a17bd08da0562423eb7cc8543795fc4e04ac2f4c,,,source_run: hist
P003,AgriVision,openalex,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,10.1038/s41597-025-06263-3,W4417424695,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,2025,10.1038/s41597-025-06263-3,identifier:https://doi.org/10.1038/s41597-025-06263-3,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-025-06263-3 (score=1.0000, source=repair)",https://doi.org/10.1038/s41597-025-06263-3,,,source_run: repair
P003,AgriVision,semantic_scholar,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,10.1038/s41597-025-06263-3,,,,,,,unknown,Provider did not resolve this seed in any run,,,,source_run: none
P004,MFO / Modern Fruit Orchards,openalex,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards,,W4414197383,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards,2025,10.1109/cvprw67362.2025.00535,search_title,1.0000,accepted,"Verified by search_title (score=1.0000, source=repair)",https://doi.org/10.1109/cvprw67362.2025.00535,,,source_run: repair
P004,MFO / Modern Fruit Orchards,semantic_scholar,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards,,,,,,,,unknown,Provider did not resolve this seed in any run,,,,source_run: none
P005,Horti-M3-Tomato,openalex,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,10.1038/s41597-026-07074-w,W7139031027,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,2026,10.1038/s41597-026-07074-w,identifier:https://doi.org/10.1038/s41597-026-07074-w,1.0000,accepted,"Verified by identifier:https://doi.org/10.1038/s41597-026-07074-w (score=1.0000, source=repair)",https://doi.org/10.1038/s41597-026-07074-w,,,source_run: repair
P005,Horti-M3-Tomato,semantic_scholar,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,10.1038/s41597-026-07074-w,09593312837b6f472ab2ab8d1a0b9e4020850bbe,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,2026,10.1038/s41597-026-07074-w,identifier:DOI:10.1038/s41597-026-07074-w,1.0000,accepted,"Verified by identifier:DOI:10.1038/s41597-026-07074-w (score=1.0000, source=s2retry)",https://www.semanticscholar.org/paper/09593312837b6f472ab2ab8d1a0b9e4020850bbe,,,source_run: s2retry
