row_id,dataset_name,citation_role,citation_title,authors_or_maintainers,year,venue_or_platform,url,doi_or_identifier,also_in_papers,report_context
D001,MuST-C,dataset repository / DOI record,MuST-C Dataset: The Multi-Sensor and Multi-Temporal Data of Multiple Crops for In-Field Phenotyping and Monitoring,Chong et al. / University of Bonn repository,2025,Bonn Data Repository,https://bonndata.uni-bonn.de/dataset.xhtml?persistentId=doi%3A10.60507%2FFK2%2FOX9XTM,10.60507/FK2/OX9XTM,no,Ranked dataset #1; main multimodal field phenotyping dataset source.
D002,MuST-C,dataset descriptor paper used as dataset citation,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,Y. L. Chong et al.,2026,Scientific Data,https://www.nature.com/articles/s41597-025-06462-y,10.1038/s41597-025-06462-y,yes,"Used for dataset scope, modalities, crops, and access/citation signal."
D003,MuST-C,official code / dataset companion repository,PRBonn/MuST-C,PRBonn,2025/2026,GitHub,https://github.com/PRBonn/MuST-C,,no,Official code/repository cited alongside the dataset.
D004,TomatoMAP,dataset descriptor paper used as dataset citation,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping and 3D Reconstruction,Y. Zhang et al.,2026,Scientific Data,https://www.nature.com/articles/s41597-026-06926-9,10.1038/s41597-026-06926-9,yes,"Ranked dataset #2; used for size, labels, citation/access signal, and task framing."
D005,TomatoMAP,official repository,0YJ/TomatoMAP,TomatoMAP authors,2025/2026,GitHub,https://github.com/0YJ/TomatoMAP,,no,"Official GitHub/repository cited for code, license, and data access details."
D006,AgriVision,dataset descriptor paper used as dataset citation,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,M. Owais et al.,2025,Scientific Data,https://www.nature.com/articles/s41597-025-06263-3,10.1038/s41597-025-06263-3,yes,Ranked dataset #3; used for DB-1/DB-2/DB-3 structure and benchmark opportunity.
D007,AgriVision,dataset repository,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,AgriVision authors / Springer Nature Figshare,2025,Figshare,https://springernature.figshare.com/articles/dataset/AgriVision_A_Benchmark_Dataset_for_Advancing_Real-World_Robotic_Vision_in_Densely_Fruited_Blueberry_Crop/29222462,Figshare item 29222462,no,Dataset repository cited for public release and storage/size details.
D008,MFO / Modern Fruit Orchards,dataset paper used as dataset citation,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards for Robotic Vision Systems,Wang et al.,2025,CVPR Workshop / CVF Open Access,https://openaccess.thecvf.com/content/CVPR2025W/V4A/papers/Wang_A_Dataset_for_Semantic_and_Instance_Segmentation_of_Modern_Fruit_CVPRW_2025_paper.pdf,,yes,Ranked dataset #4; used for real/synthetic RGB-D orchard segmentation details.
D009,MFO / Modern Fruit Orchards,paper HTML record used as dataset citation,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards for Robotic Vision Systems,Wang et al.,2025,CVF Open Access,https://openaccess.thecvf.com/content/CVPR2025W/V4A/html/Wang_A_Dataset_for_Semantic_and_Instance_Segmentation_of_Modern_Fruit_CVPRW_2025_paper.html,,yes,CVF paper record cited for the MFO dataset paper.
D010,MFO / Modern Fruit Orchards,official repository / dataset links,tqosu/MFO,MFO authors,2025,GitHub,https://github.com/tqosu/MFO,,no,"Official repository cited for code license, dataset links, and uptake signal."
